iter	RMSE
0	13.90257602
1	13.01976587
2	12.37670399
3	11.66700207
4	10.99898302
5	10.46756452
6	10.03983827
7	9.523042591
8	9.075532049
9	8.676347829
10	8.344151253
11	8.049188488
12	7.79880387
13	7.550898447
14	7.332263452
15	7.156218243
16	6.980406014
17	6.833253479
18	6.717838167
19	6.583690973
20	6.472671588
21	6.384278925
22	6.304435597
23	6.232639994
24	6.16985922
25	6.105915036
26	6.050595498
27	5.98549497
28	5.943048182
29	5.881389147
30	5.847010734
31	5.79155176
32	5.751397466
33	5.720341157
34	5.685965371
35	5.659870449
36	5.62690584
37	5.606121187
38	5.586390207
39	5.554969037
40	5.514191055
41	5.49165081
42	5.470910853
43	5.443188174
44	5.430624856
45	5.417638567
46	5.405427282
47	5.396622874
48	5.381676942
49	5.372183705
50	5.350894727
51	5.337568116
52	5.326197162
53	5.308096581
54	5.299161741
55	5.290638447
56	5.277670715
57	5.26932197
58	5.257546425
59	5.25220706
60	5.248300067
61	5.241113002
62	5.230242026
63	5.221889353
64	5.210516249
65	5.204059404
66	5.199416931
67	5.193160609
68	5.180222745
69	5.167178552
70	5.165000179
71	5.158428037
72	5.154362827
73	5.147563472
74	5.146443114
75	5.137463288
76	5.131726768
77	5.124498511
78	5.115999404
79	5.111830737
80	5.108058128
81	5.104477562
82	5.102448921
83	5.095143617
84	5.088734945
85	5.07915165
86	5.066261057
87	5.059130302
88	5.055026395
89	5.04804109
90	5.041091183
91	5.030568351
92	5.027199499
93	5.01710083
94	5.011643111
95	5.008743841
96	5.000747751
97	4.993772014
98	4.982945593
99	4.972913966
